Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Abbas, II; Iduseri, EO; Alao, EO; ","Determination of Groundwater Producing Zones in Kaduna Metropolis, Kaduna State, Nigeria",,,,,2025,
"Abbas, II; Abdulkadir, F; Iduseri, EO; Nigeria, Abuja; ","AN ANALYSIS OF THE FACTORS AND EFFECTS OF GULLY EROSION IN CHIKUN LOCAL GOVERNMENT AREA, KADUNA, KADUNA STATE",Confluence Journal of Environmental Studies,13,2,11-20,2020,"Department of Geography, Kogi State University"
"Mafiana, CF; Jayeola, OA; Iduseri, EO; ",Impact of environmental degradation on biodiversity conservation in Nigeria,Zoologist (The),20,1,41-50,2022,
"A. T, Toby; IN, Bassey .; M.E, Effiong; E.O, Iduseri; R (, Enyiukwu D.N & Osu S.; ","Physio-Chemical Properties and Mycoflora Profile in some Coastal Wetlands of Akwa Ibom State, Nigeria: Potential Challenges for Agro-Ecological and Public Health.",International Journal of Bonorowo Wetlands,14,1,9-18,2024,
"11. Abbas, A. M.; Iduseri, E. O.; Otitoju, 1M. A.; Ebukiba, E. S.; Olutumise, A. I.; Agbonika, D. A. and Adole, S. O.; ","Nigeria’s Petro-Dollar Economy, Agricultural Programmes and Policies: A Review",Journal of Agricultural Science and Environment,24,2,1-15,2024,Federal University of Agriculture Abeokuta
"12. Abbas, A. M; Ebukiba, E. S; Otitoju, M. A; Iduseri, E. O; Agbonika, D. A; Adole, S. O; Gamba, V; Olutumise, A.I& Haruna, E.O.; ",Prospects and Sustainability of Catfish Farming Amidst Rising Input Costs in Nigeria.,FUOYE Journal of Agriculture and Human Ecology.,17,1,88-94,,
"2023; ","The Impact of insurgency on Tomatoes ‘Availability and Pricing in Nigeria: A Case Study of Three Major Markets in Benin City, Nigeria.",Ife Research Publications in Geography,23,"1,2",66-91,,"Department of Geography, Obafemi Awolowo University, Ile-Ife, Nigeria."
"22. Abu, R.D., Abu, G.O., Gajere, E.N., Iduseri, E.O., Oke, M.O., Songu, G.A. and Sajo, J.; ","Assessment of Water, Sanitation and Hygiene Practices of Households in Balanga North, Gombe, Nigeria",Osun Geographical Review,4,,9-17,2021,
"Okwuokenye,G.F and Iduseri, E.O.; ",Participation of Fish Farmers in Agricultural Cooperative Societies for Economic Empowerment among Small Scale farmers in Delta,Taraba Journal of Agricultural Research,9,1,12-21,2021,
"Abbas, I. I.; Iduseri, E.O. & Abejide, O.L.; ",Assessment of Non-Farming Economic Activities among Rural Women in Kauru L.G.A Kaduna State.,"Frontiers in Societal Development, Kogi State University Journal Series",1,1,11-22,2021,
"Iduseri, E.O.; ","Assessment of the Basic Needs of Rural Communities: A Case Study of the Esan Area of Edo State, Nigeria",Nigerian Journal of Geography and the Environment.,4,1,62-70,2020,
"Usman, M.A., Abbas, I.I. and Iduseri, E.O.; ","Spatial Analysis of Tuberculosis Spread in Gombe Local Government Area, Gombe State, Nigeria",Kaduna Journal of Geography,2,2,1-17,2020,
"Abbas, I. I.; Ahmadu, S. D. and Iduseri, E.O.; ","The Spatial Analysis of Tri-cycle Stations in Kaduna North Local Government Area, Kaduna State, Nigeria",African Journal of Geographical Sciences (AJGS,1,1,40-49,2020,University of Jos
"Okwuokenye, G.F. and Iduseri, E.O.; ",Agricultural Cooperative Societies: A Strategy of Credit Provision to Rural Household Farmers for Economic Development in Bayelsa State.,Journal of Agriculture and Food Environment,6,4,56-68,2019,
"Abbas, I.I, Iduseri, E.O. and Akos, W.J; ","An Assessment of the Quality of Potable Water in Gwantu Town, Sanga Local Government Area, Kaduna State, Nigeria",Confluence Journal of Environmental Studies,13,1,125-140,,"Kogi State University, Ayingba"
"Ogedegbe, S.O., Abas, E.O. and Obeahon, P.A.; ","Provision of Infrastructural Facilities for Accelerated Rural Development in Nigeria: The Case of Ukhun, Urohi and Emuhi Communities in Esan West Local Government Area of Edo State.",Intellectualism: A Multidisciplinary Journal,2,2,16-22,2009,"Ambrose Alli University, Ekpoma"
"Iduseri, E.O. and Adewoyin, Y.; ","Assessment of Knowledge, Attitude and Practice (KAP) of the Health Implications of Environmental Degradation in Igueben Local Government Area of Edo State, Nigeria",Nigerian Journal of Geography and the Environment,3,"1,2",203-213,2019,
"Abas, E.O., Ogedegbe, S.O. and Irabor, M.O.; ","A Comparative Analysis between Urban and Rural Level of Awareness of HIV/AIDS in Zaria region, Kaduna State","Millennium Development Goals: Issues on Gender, Women, Poverty and Development",3,,175-190,2009,
"Ogedegbe, S.O. and Abas, E.O.; ",Cartographic and Geo-political Development of States in Nigeria.,GRP Journal of Environmental Planning and Management,2,,15-22,2009,"Department of Geography Ambrose Alli University, Ekpoma"
"Abas, E.O. and Ogedegbe, S.O.; ","Patterns of Domestic Energy Consumption: A Case Study of Tudun Wada, Zaria.",GRP Journal of Environmental Planning and Management,2,,121-127,2009,"Department of Geography Ambrose Alli University, Ekpoma"
"Iduseri, E.O.; ","AIRCRAFT NOISE POLLUTION NEAR MURTALA MUHAMMED INTERNATIONAL AIRPORT, LAGOS: HEALTH IMPACTS AND THE ANHS MODEL FRAMEWORK","African Journal of Health, Safety and Environment",7,1,280-296,2026,
